DIMENSION 2-D
Benchmarks;Instance 1;Instance 2;Instance 3;Instance 4;Instance 5;Instance 6;Instance 7;Instance 8;Instance 9;Instance 10;Instance 11;Instance 12;Instance 13;Instance 14;Instance 15;;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores
f21;1.0000e-14;1.0000e-14;1.0000e-14;6.9186e-01;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;3.6654e-08;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.XCL(-LOG10(B23),1);=FLOOR.XCL(-LOG10(C23),1);=FLOOR.XCL(-LOG10(D23),1);=FLOOR.XCL(-LOG10(E23),1);=FLOOR.XCL(-LOG10(F23),1);=FLOOR.XCL(-LOG10(G23),1);=FLOOR.XCL(-LOG10(H23),1);=FLOOR.XCL(-LOG10(I23),1);=FLOOR.XCL(-LOG10(J23),1);=FLOOR.XCL(-LOG10(K23),1);=FLOOR.XCL(-LOG10(L23),1);=FLOOR.XCL(-LOG10(M23),1);=FLOOR.XCL(-LOG10(N23),1);=FLOOR.XCL(-LOG10(O23),1);=FLOOR.XCL(-LOG10(P23),1)
f22;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.7053e-13;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.XCL(-LOG10(B24),1);=FLOOR.XCL(-LOG10(C24),1);=FLOOR.XCL(-LOG10(D24),1);=FLOOR.XCL(-LOG10(E24),1);=FLOOR.XCL(-LOG10(F24),1);=FLOOR.XCL(-LOG10(G24),1);=FLOOR.XCL(-LOG10(H24),1);=FLOOR.XCL(-LOG10(I24),1);=FLOOR.XCL(-LOG10(J24),1);=FLOOR.XCL(-LOG10(K24),1);=FLOOR.XCL(-LOG10(L24),1);=FLOOR.XCL(-LOG10(M24),1);=FLOOR.XCL(-LOG10(N24),1);=FLOOR.XCL(-LOG10(O24),1);=FLOOR.XCL(-LOG10(P24),1)
f23;4.8749e-02;8.7720e-01;1.4827e-02;3.0599e-01;1.2764e-01;5.5045e-01;2.0501e+00;5.8192e-02;5.5718e-03;2.8835e-01;2.1062e-02;8.0311e-02;5.6269e-01;8.0075e-02;5.6855e-02;;=FLOOR.XCL(-LOG10(B25),1);=FLOOR.XCL(-LOG10(C25),1);=FLOOR.XCL(-LOG10(D25),1);=FLOOR.XCL(-LOG10(E25),1);=FLOOR.XCL(-LOG10(F25),1);=FLOOR.XCL(-LOG10(G25),1);=FLOOR.XCL(-LOG10(H25),1);=FLOOR.XCL(-LOG10(I25),1);=FLOOR.XCL(-LOG10(J25),1);=FLOOR.XCL(-LOG10(K25),1);=FLOOR.XCL(-LOG10(L25),1);=FLOOR.XCL(-LOG10(M25),1);=FLOOR.XCL(-LOG10(N25),1);=FLOOR.XCL(-LOG10(O25),1);=FLOOR.XCL(-LOG10(P25),1)
f24;2.1223e+00;2.0016e+00;2.1408e+00;2.0624e+00;2.0242e+00;2.0293e+00;2.0442e+00;2.0305e+00;2.0864e+00;4.1567e-13;1.0671e-01;2.0650e+00;2.0471e+00;2.0602e+00;2.0279e+00;;=FLOOR.XCL(-LOG10(B26),1);=FLOOR.XCL(-LOG10(C26),1);=FLOOR.XCL(-LOG10(D26),1);=FLOOR.XCL(-LOG10(E26),1);=FLOOR.XCL(-LOG10(F26),1);=FLOOR.XCL(-LOG10(G26),1);=FLOOR.XCL(-LOG10(H26),1);=FLOOR.XCL(-LOG10(I26),1);=FLOOR.XCL(-LOG10(J26),1);=FLOOR.XCL(-LOG10(K26),1);=FLOOR.XCL(-LOG10(L26),1);=FLOOR.XCL(-LOG10(M26),1);=FLOOR.XCL(-LOG10(N26),1);=FLOOR.XCL(-LOG10(O26),1);=FLOOR.XCL(-LOG10(P26),1)
;;;;;;;;;;;;;;;;;Total;=SUM(R3:AF26)

DIMENSION 3-D
Benchmarks;Instance 1;Instance 2;Instance 3;Instance 4;Instance 5;Instance 6;Instance 7;Instance 8;Instance 9;Instance 10;Instance 11;Instance 12;Instance 13;Instance 14;Instance 15;;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores
f1;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.XCL(-LOG10(B31),1);=FLOOR.XCL(-LOG10(C31),1);=FLOOR.XCL(-LOG10(D31),1);=FLOOR.XCL(-LOG10(E31),1);=FLOOR.XCL(-LOG10(F31),1);=FLOOR.XCL(-LOG10(G31),1);=FLOOR.XCL(-LOG10(H31),1);=FLOOR.XCL(-LOG10(I31),1);=FLOOR.XCL(-LOG10(J31),1);=FLOOR.XCL(-LOG10(K31),1);=FLOOR.XCL(-LOG10(L31),1);=FLOOR.XCL(-LOG10(M31),1);=FLOOR.XCL(-LOG10(N31),1);=FLOOR.XCL(-LOG10(O31),1);=FLOOR.XCL(-LOG10(P31),1)
f2;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;2.1915e-01;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.XCL(-LOG10(B32),1);=FLOOR.XCL(-LOG10(C32),1);=FLOOR.XCL(-LOG10(D32),1);=FLOOR.XCL(-LOG10(E32),1);=FLOOR.XCL(-LOG10(F32),1);=FLOOR.XCL(-LOG10(G32),1);=FLOOR.XCL(-LOG10(H32),1);=FLOOR.XCL(-LOG10(I32),1);=FLOOR.XCL(-LOG10(J32),1);=FLOOR.XCL(-LOG10(K32),1);=FLOOR.XCL(-LOG10(L32),1);=FLOOR.XCL(-LOG10(M32),1);=FLOOR.XCL(-LOG10(N32),1);=FLOOR.XCL(-LOG10(O32),1);=FLOOR.XCL(-LOG10(P32),1)
